9: nome_desti, 4: nome_orige
9: Colinas do Tocantins, 4: Tupiratins
9: Jo?o C?mara, 4: Cai?ara do Norte
9: Jo?o C?mara, 4: Galinhos
9: Jo?o C?mara, 4: Janda?ra
9: Jo?o C?mara, 4: Jardim de Angicos
9: Jo?o C?mara, 4: Parazinho
9: Jo?o C?mara, 4: Pedra Grande
9: Jo?o C?mara, 4: Pedra Preta
9: Jo?o C?mara, 4: S?o Bento do Norte
9: Jo?o C?mara, 4: Cai?ara do Norte
9: Jo?o C?mara, 4: Galinhos
9: Guara?, 4: Centen?rio
9: Jo?o C?mara, 4: Janda?ra
9: Jo?o C?mara, 4: Jardim de Angicos
9: Jo?o C?mara, 4: Parazinho
9: Jo?o C?mara, 4: Pedra Grande
9: Jo?o C?mara, 4: Pedra Preta
9: Jo?o C?mara, 4: S?o Bento do Norte
9: Macau, 4: Guamar?
9: Macau, 4: Pend?ncias
9: Macau, 4: Guamar?
9: Macau, 4: Pend?ncias
9: Guara?, 4: Fortaleza do Taboc?o
9: Mossor?, 4: A?u
9: Mossor?, 4: Apodi
9: Mossor?, 4: Areia Branca
9: Mossor?, 4: Augusto Severo
9: Mossor?, 4: Bara?na
9: Mossor?, 4: Cara?bas
9: Mossor?, 4: Felipe Guerra
9: Mossor?, 4: Frutuoso Gomes
9: Mossor?, 4: Governador Dix-Sept Rosado
9: Mossor?, 4: Grossos
9: Guara?, 4: Goianorte
9: Mossor?, 4: Ita?
9: Mossor?, 4: Jandu?s
9: Mossor?, 4: Martins
9: Mossor?, 4: Messias Targino
9: Mossor?, 4: Olho-d'?gua do Borges
9: Mossor?, 4: Patu
9: Mossor?, 4: Tibau
9: Mossor?, 4: Serra do Mel
9: Mossor?, 4: Umarizal
9: Mossor?, 4: Upanema
9: Guara?, 4: Itapor? do Tocantins
9: Mossor?, 4: A?u
9: Mossor?, 4: Apodi
9: Mossor?, 4: Areia Branca
9: Mossor?, 4: Augusto Severo
9: Mossor?, 4: Bara?na
9: Mossor?, 4: Cara?bas
9: Mossor?, 4: Felipe Guerra
9: Mossor?, 4: Frutuoso Gomes
9: Mossor?, 4: Governador Dix-Sept Rosado
9: Mossor?, 4: Grossos
9: Guara?, 4: Pedro Afonso
9: Mossor?, 4: Ita?
9: Mossor?, 4: Jandu?s
9: Mossor?, 4: Martins
9: Mossor?, 4: Messias Targino
9: Mossor?, 4: Olho-d'?gua do Borges
9: Mossor?, 4: Patu
9: Mossor?, 4: Tibau
9: Mossor?, 4: Serra do Mel
9: Mossor?, 4: Umarizal
9: Mossor?, 4: Upanema
